ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,4122,"","We've cornered her! It's her true form!","追到了！　妳就是 “本體”對吧！","","몰아넣었어! 저게 ""본체""야!","Wir haben sie in die Enge getrieben! Es ist ihre
wahre Gestalt!"
2,4856,"","Why?","……為什麼？","","……어째서?","Warum?"
3,2020,"","?","？","","?","?"
4,4856,"","Why won't you leave me alone? Why are you chasing
me?","為什麼……不放著我不管就好？
為什麼……要妨礙我？","","어째서……내버려두지 않는 거야?
왜……나를 방해해?","Warum lasst ihr mich nicht in Ruhe? Wieso verfolgt
ihr mich?"
5,4856,"","I just...want people to know.","我只是……想要引起大家的注意而已。","","나는 단지……모두가 알아주길 바랄 뿐인데","Ich will nur ... dass Leute Bescheid wissen."
6,4856,"","I want them to know that death is so fun. You can
be free in death.","沒錯……我想讓大家注意到。
如果死了，就能如此快樂，就能如此自由。","","그래……알아줬으면 좋겠어.
죽으면 이렇게 즐겁다고. 자유로워진다고","Ich will, dass sie wissen, dass es im Tod nicht
trist ist. Im Tod ist man so losgelöst."
7,4856,"","There's no hardship. There's nothing.","也不會有什麼……痛苦的事。","","괴로운 건……아무것도 없어","Es gibt keine Mühsal mehr. Gar nichts mehr."
8,4856,"","Everyone's lives are so hard.","因為大家，都很辛苦的活著。","","모두가 괴롭게 살아가고 있으니까","Das Leben ist so schwer."
9,4856,"","Everyone's lives are so painful.","因為大家，都活得很痛苦。","","모두가 고통스럽게 살아가고 있으니까","Das Leben verursacht so viel Schmerz."
10,4856,"","Everyone looks so bored of being alive.","因為大家，都活得很無聊的樣子。","","모두가 살아있어 봤자 재미없으니까","Alle sehen so gelangweilt aus, wenn sie lebendig
sind."
11,2020,"","...!","…………！","","…………!","...!"
12,2020,"","There's no way being dead could be more fun!
Some people might feel that way, but...
You don't know what you're talking about!","才沒有死了比較輕鬆這回事！！
也許真的有人這樣想也說不定……但是！！
我才不管那些呢！！","","죽는 편이 좋다니 그럴 리 없어!!
그렇게 생각하는 사람도 있을지 몰라……그래도!!
그딴 거 내가 알까보냐!!","Der Tod kann unmöglich Freude machen!
Vielleicht geht es manchen so, aber ...!
Du weißt nicht, was du da redest!"
13,4122,"","It's no good. You can't get through to her.","不行，無法和她溝通……","","안 돼, 지금의 저 애에겐 말이 통하지 않아……","Es hat keinen Zweck. Sie hört nicht recht zu."
14,4122,"","And it gets worse... Her power is increasing at an
alarming rate!","而且更糟的是……
她的力量……正以非常驚人的速度在增加！！","","그보다 위험해……
그 애의 힘이……엄청난 기세로 증폭하고 있어!!","Und es wird schlimmer ... Ihre Macht nimmt
erschreckend schnell zu!"
15,2020,"","?!","……！？","","……!?","?!"
16,4856,"","Just die.","死了算了。","","죽어버려","Stirb einfach."
17,4856,"","Die and be with me.","和我一樣死了算了。","","나랑 같이 죽어버려","Stirb und bleib bei mir."
18,4856,"","Death is happiness. Kyahahahahaha!","死了就會幸運，我好愉悅
――呀哈哈哈哈哈哈哈哈哈哈哈哈！！！","","죽으면 럭키, 나는 해피
――꺄하하하하하하하하하하하하!!!","Der Tod ist das Glück. Muahahahahaha!"
19,4122,"","We have no choice but to fight!","要壓制住她就只能戰鬥了！
要上了喔！","","저걸 제압하려면 싸울 수밖에 없겠네!
가자!","Wir haben keine andere Wahl. Wir müssen kämpfen!"
