ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1072,"","There you are! Let's go to WarGrowlmon!","你來了啊！
好了，我們趕緊前往大古拉獸的所在處！","","와줬구나!
자, 어서 메가로그라우몬에게 가자!","Da bist du ja! Gehen wir zu WarGrowlmon!"
2,2020,"","Calm down first.
First tell me everything.","先冷靜下來吧。
請先告訴我詳細的事發經過。","","일단 진정해
우선은 자세한 경위를 들려줘","Beruhige dich erst mal.
Erzähl mir erst mal alles."
3,1072,"","Oh, sorry. I'm still shaken up.","抱、抱歉。
我又亂了步調……","","미, 미안.
또 흐트러진 모습을 보였군……","Ach, tut mir leid. Ich bin immer noch ganz
durcheinander."
4,1072,"","How it happened, right?","詳細的事發經過是吧？","","자세한 경위 말인가?","Du willst wissen, wie es passiert ist?"
5,1072,"","WarGrowlmon and I lived with some other Digimon.","……我們，我和大古拉獸是和其它
數碼寶貝們一起互相扶持生活過來的。","","……우리, 나와 메가로그라우몬은
다른 디지몬과 서로 의지하며 살고 있었지","WarGrowlmon und ich wohnten mit ein paar anderen
Digimon zusammen."
6,1072,"","After we were dragged into this world, we stuck
together and lived in relative peace.","因為那個現象而來到了這個世界，
我們同心協力，過著還算和平的生活。","","그 현상으로 이쪽 세계에 온 후
힘을 합쳐 평화롭게 살고 있었어","Nachdem wir in dieser Welt gelandet waren, blieben
wir zusammen und lebten in relativer Eintracht."
7,1072,"","But one day an Arcadiamon attacked us out of the
blue.","但是，那個時候……
那個叫阿卡迪獸的傢伙突然襲擊過來……","","하지만 그때……
그 알카디몬인가 하는 녀석이 갑자기 습격해서……","Aber eines Tages griff Arkadimon uns urplötzlich
an."
8,1072,"","It absorbed everyone except WarGrowlmon and me.","除了我和大古拉獸以外的夥伴，
大家都被他給吸收掉了。","","나와 메가로그라우몬 이외의 동료는
모두 흡수당해버렸다","Bis auf WarGrowlmon und mich hat es alle
absorbiert."
9,1072,"","After that, WarGrowlmon trained hard in the hope
of getting revenge one day.","然後大古拉獸為了報仇而追求力量……","","그리고, 메가로그라우몬은 복수를 위해 힘을 원했어……","Daraufhin hat WarGrowlmon mit dem Training
begonnen. Er hoffte, sich eines Tages rächen
zu können."
10,1072,"","As a result, he Digivolved into Megidramon and
lost his mind.","結果他進化成了破滅魔龍獸，
並且喪失了自我。","","그 결과, 녀석은 메기드라몬으로 진화해서
자아를 잃어버리고 말았다","Deshalb ist er zu Megidramon digitiert und
durchgedreht."
11,1072,"","I want him to change back to WarGrowlmon. I can't
lose my last surviving friend!","我希望他能變回原本的大古拉獸，
我不想要再失去夥伴了！","","원래의 메가로그라우몬으로 돌아왔으면 해.
동료를 또 잃는 건 싫다고!","Ich möchte, dass er sich wieder in WarGrowlmon
zurückverwandelt. Ich kann nicht meinen letzten
lebenden Freund verlieren!"
12,1072,"","Please help him!","拜託你！　救救我的夥伴！！","","부탁한다! 동료를 구해줘!!","Bitte hilf ihm!"
13,1072,"","Thank you!","謝謝你……！","","고마워……!","Danke!"
14,1072,"","Let's find him. He's around here somewhere!","立刻去尋找他吧。
我確定他就在這裡！","","바로 그 녀석을 찾자
분명 여기 있을 거야!","Suchen wir ihn. Er muss irgendwo hier in der
Nähe sein!"
