ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
40100,4730,,"Ehi, ehi, ti piace la polizia?
Io penso siano fantastici, ahahaa...","欸欸，你喜歡警察嗎？
我可是非常喜歡哦……　呵呵，呵呵呵呵呵……",,"이봐이봐, 너는 경찰을 좋아해?
나는 정말 좋아해…후후, 후후후후…","He, he, magst du die Polizei?
Ich finde sie großartig, haha ..."
40110,4730,,"Ehi, come va?
Posso aiutarti in qualcosa?","你怎麼了？
有事情要問我嗎？",,"무슨 일이지?
본관에게 뭔가 질문이라도?","He, wie geht es dir?
Kann ich dir behilflich sein?"
40120,4730,,Demo di conversazione.,對話DEMO。,,회화 데모,Vorführgespräch.
40130,4730,,"Ehi, ehi, non c'è bisogno di essere timidi.",唉呀，你用不著那麼緊張啊。,,"이런이런, 그렇게 긴장하지 않아도 된다고?","He, he, sei doch nicht so schüchtern."
40140,4730,,"Oh cielo, chi potrebbe odiare un agente di polizia?
Incarnano i nostri sogni, le nostre speranze, le nostre aspirazioni!","不可能會有人憎恨警察的……
警察是每個人的夢想、希望和憧憬啊……",,"경찰을 증오하다니 있을 리 없어…
경찰은 꿈이자 희망이자 동경이야…","Oha, wer könnte denn Polizisten hassen?
Sie stehen für unsere Träume und Hoffnungen!　　"
40000,4730,,"Ehi, ehi, ti piace la polizia?
Penso che siano fantastici, ahahaa...","欸欸，你喜歡警察嗎？
我可是非常喜歡哦……　呵呵，呵呵呵呵呵……",,"이봐이봐, 너는 경찰을 좋아해?
나는 정말 좋아해…후후, 후후후후…","He, he, magst du die Polizei?
Ich finde sie großartig, haha ..."
40010,4730,,"Ehi, come va? C'è
qualcosa in cui posso esserti d'aiuto?","你怎麼了？
有事情要問我嗎？",,"무슨 일이지?
본관에게 뭔가 질문이라도?","He, wie geht es dir?
Kann ich dir behilflich sein?"
40020,4730,,"...Eh?
Temo di non poter commentare su questo, ahaha...","……咦？
我不能告訴你那件事耶……　呵呵呵呵呵……",,"………음?
본관 입장에선 말할 수 없겠는걸… 후후후후…","... Wie?
Dazu kann ich leider nichts sagen, haha ..."
40030,4730,,"Ehi, ehi, non c'è bisogno di essere timidi.",唉呀，你用不著那麼緊張啊。,,"이런이런, 그렇게 긴장하지 않아도 된다고?","He, he, sei doch nicht so schüchtern."
40040,4730,,"Quindi, sei un detective?
Mi piacciono molto i poliziotti, sai.
Ahaha...","你是偵探嗎？
我比較喜歡當警察啊……呵呵呵……",,"너는 탐정이니?
나는 경찰 쪽이 좋은데…후후후후…","So, du bist also ein Detektiv?
Ich mag die Polizei wirklich gerne, weißt du.
Haha ..."
