ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1392,"","Okay! We've got Ryuji's location!
Hurry! We can't hold him back much longer!","久等了！　掌握到龍司的位置了！
動作快！　沒辦法拖住龍司太久喔！","","기다렸지! 류지의 위치 정보를 포착했어!
서둘러! 오랫동안 발을 묶을 수는 없대!","Okay! Wir haben Ryujis Standort! Schnell!
Wir können ihn nicht viel länger aufhalten!"
2,2020,"","...!","……！","","……!","...!"
3,3015,"","He's close! We gotta move! Follow me!","這地方很近……！
動作快！　跟我來。","","이 장소라면 가까워…!
서두르자! 따라와라!!","Er ist in der Nähe! Wir müssen weiter! Mir nach!"
7,3015,"","You there! Don't move! It's the police!","那邊的男子，不要動！　警察！","","거기 남자, 움직이지 마! 경찰이다!","Du da! Stehenbleiben! Polizei!"
8,2020,"","...?!","……！？","","……!?","...?!"
9,3015,"","Hey, this isn't Ryuji...!","喂，這傢伙不是龍司啊……！？","","어이, 이 녀석… 류지가 아닌데…!?","He, das ist aber nicht Ryuji ...!"
10,7031,"","*Gulp*...","嗚、啊……","","우, 가……","*Schluck* ..."
11,3015,"","Hey! Are you okay?!","喂！？　你沒事吧……！？","","어이!? 너… 괜찮냐!?","He! Alles in Ordnung?!"
12,3015,"","Dammit! What happened?!
I thought Ryuji was supposed to be here!","可惡，到底怎麼回事！？
在這邊的人應該要是龍司才對啊！？","","젠장, 어떻게 된 거지!?
여기에 있는건 류지일 텐데!?","Verdammt! Was ist passiert?!
Ich dachte, Ryuji sollte hier sein!"
13,2020,"","...?!","……！？","","……!?","...?!"
