ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7360,"","Kenchan, looks like everyone's here. What shall we
play today?","小賢，大家都到了喔。
今天要玩什麼呢？","","켄짱, 모두 모였어.
오늘은 뭐하고 놀까?","Kenchan, es sind alle da. Was wollen wir heute
spielen?"
2,7360,"","Huh? Who are they? And is that a...bug?","……咦，那群人是誰啊？　還有蟲？","","……어라, 이 사람들은? 게다가 벌레?","Wie? Wer sind die denn? Und ist das ein ...
Insekt?"
3,1392,"","I'm not a bug! I'm a Wormmon! By the way, we want
to ask you something.","不是蟲啦！　我是蟲蟲獸！
那個，我想問妳一些事情。","","벌레가 아냐! 나는 추추몬!
저기, 이야기를 좀 들려줬으면 해","Ich bin kein Insekt, ich bin ein Wormmon! Wir
wollten dich übrigens etwas fragen."
4,1392,"","You said ""everyone's here,"" but isn't there anyone
out of place?","妳剛剛說「大家都到了」，
在這邊的人，都是平常一起玩的人沒錯吧？","","「모두 모였다」고 했는데
여기 있는 사람들, 평소에 모여 놀던 모두가 맞아?","Du meintest, es wären alle da, aber fällt dir
niemand auf?"
5,7360,"","Huh? It's the usual bunch. Right, Kenchan?","咦？　嗯，都是老樣子的成員喔。
對吧，小賢。","","어? 응. 평소랑 똑같은 멤버야.
저기, 켄짱?","Wie? Ist doch unsere übliche Truppe. Stimmt’s,
Kenchan?"
6,7350,"","That's right. No mistake.","對，大家好像都到了。
沒錯啊。","","그래, 전원이 모였어.
틀림없어","So ist es. Definitiv."
7,2020,"","?!","！？","","!?","?!"
8,7360,"","?","？","","?","?"
9,7350,"","What was that?","那個，剛才的到底是……？","","저기, 지금 그건 대체……?","Was war das?"
10,3045,"","That reaction... Hmm...","……剛才的反應，難不成……","","……이 반응, 혹시……","Diese Reaktion ... Hmm ..."
11,1392,"","What was that noise just now?","剛才那個像雜訊的是什麼啊……？","","방금 노이즈같은 건, 대체 뭐지……?","Was war denn das für ein Geräusch?"
