ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1392,,Questo è il server di memoria di Erika!,這裡……是艾莉卡的記憶伺服器！,,여긴… 에리카의 기억 서버야!,Das ist Erikas Erinnerungsserver!
2,3047,,"Ehi, guarda lì!",喂，你看那個！,,"야, 저걸 봐!","He, seht mal!"
3,2020,,...!,…………！,,…………!,...!
4,3046,,Erika!,艾莉卡！,,에리카!,Erika!
5,1392,,Erika! Mi senti?! Siamo qui per aiutarti!,"艾莉卡！　妳有聽到嗎！？
我們來救妳了唷！",,에리카! 들려!? 우리가 구하러 왔어~!,"Erika! Hörst du mich?! Wir sind gekommen, um
dir zu helfen!"
6,3047,,"Heh, sembra che non ce la restituirà senza
combattere!","嘿嘿……雖然已經做好心理準備，
但看那傢伙，不會這麼輕易的把小姐還給我們……！",,"헤헷… 알고 있었지만
저 녀석 그렇게 쉽게 아가씨를 돌려 줄 마음은 없는 모양이야…!","Hm, ohne einen Kampf kriegen wir sie wohl nicht
zurück!"
7,2020,,...?!,……！？,,……?!,...?!
8,1392,,"No! Sta cercando di erodere il server di memoria!
Tutti i ricordi di Erika andranno persi per sempre!","糟、糟糕了！
那傢伙……好像想侵蝕記憶伺服器！
這樣下去，艾莉卡的記憶……艾莉卡會消失的！！",,"위, 위험해! 저 녀석…… 기억 서버를 침식할 생각인가봐!
이대로라면 에리카의 기억이……… 에리카가 사라져버려!!","Nein! Es versucht, den Erinnerungsserver
abzutragen! Dann sind jegliche Erinnerungen von
Erika für immer verloren!"
9,3047,,Accidenti! Cosa possiamo fare?!,該死……該怎麼辦！？,,젠장…… 어떻게 하지!?,Verdammt! Was können wir tun?!
10,3046,,C'è solo una cosa da fare.,……那還用說，我們要做的只有一件事。,,……정해져 있잖아. 할 일은 하나뿐이야,Da gibt’s nur eins.
11,3046,,"Rubare autorizzazioni nel cyberspazio, intrufolarsi e
prendere ciò di cui abbiamo bisogno. Questo è ciò che gli hacker sanno fare meglio.","奪取網路空間的權限並入侵，取得我們必要的東西。
這就是我們“駭客”。",,"네트워크 공간에서 권한을 뺏고 침입해서 필요한 것을 입수한다.
그것이 우리들 ""해커""다","Die Befugnis im Cyberspace stehlen, eindringen
und holen, was wir brauchen. Darin sind
Hacker gut."
12,3046,,"Non importa quanto sia forte un Eater. Questo è
il cyberspazio. Non può competere con noi!","不管侵食者的力量有多強，這裡是電腦空間……
他就不是我們的敵人！",,"이터의 힘이 얼마나 늘어나든 여기는 전뇌공간……
우리의 적수가 아니야!","Es ist egal, wie stark ein Verschlinger ist. Dies
ist der Cyberspace. Mit uns kann er sich nicht
messen!"
13,3047,,Ah ah! Capisco! Un altro giorno in ufficio!,"……哈哈！　原來如此！
和平常的工作沒什麼兩樣呢！",,"…하하! 그렇구나! 
평소 하던 작업과 다르지 않다는 거군!",Haha! Verstehe! Ein ganz normaler Arbeitstag!
14,3047,,"Quindi l'obiettivo è il server di memoria di Erika, e
l'obiettivo è la nostra bella addormentata?","入侵對象是小姐的記憶伺服器。
奪取目標是──我們的睡美人，沒錯吧？",,"해킹 대상은 아가씨의 기억 서버.
탈취 목표는―― 우리의 잠자는 공주님, 이란 거지?","Das Ziel ist also Erikas Erinnerungsserver.
Und es geht um unser Dornröschen?"
15,3047,,"Vai, [p]!",上吧，[p]！,,"가라, [p]!","Los jetzt, [p]!"
16,3047,,"Fermeremo l'erosione degli Eater. Tu e Wormmon,
salvate Erika!","趁我們阻擋侵食者的侵蝕時，
你和蟲蟲獸去救小姐！",,"우리가 이터의 침식을 억제하는 틈에
너와 추추몬이 함께 아가씨를 구해와!","Wir werden verhindern, dass der Verschlinger noch
mehr abträgt. Du und Wormmon, rettet Erika!"
17,3046,,"Vai a prendere Erika. Dammi questa possibilità di rimediare
a tutto.","……艾莉卡就交給你了，隊長。
記得要給我一個道歉的機會喔。",,"……에리카를 부탁한다, 리더.
나에게 사과할 기회를 줘","Los, hol Erika. Du musst dafür sorgen, dass ich
alles wiedergutmachen kann!"
18,2020,,!!!,！！,,!!,!!!
19,3046,,"Sei pronto, Chitose?",……準備好了嗎，千歲？,,……준비됐지? 치토세,"Bist du bereit, Chitose?"
20,3047,,Sì!,好了！,,물론!,Jep!
21,7057,,È ora di hackerare!,……開始入侵！,,……해킹 개시다!,Zeit zum Hacken!
