ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7365,"","""Memories aren't about preserving data, they're
something you keep inside you for the rest of your
life..."" What did he mean by that?","……回憶不能用資料保存，
得刻在心上，帶進墳墓？","","…추억은 데이터로 남겨두는 게 아니라고?
추억은 마음에 새겨두고 무덤까지 가져가는 거라고?","Erinnerungen sind keine Daten, sondern man trägt
sie das ganze Leben in sich ...
Was hat er damit gemeint?"
2,7365,"","Nonsense! This is where I'm going to stay for the
rest of my life!","說什麼好聽話……！
這裡！　這水族館才是我永遠的家，
永遠的墳墓啊！","","무슨 그럴듯한 소리를 하는 거야…!
여기가! 내 수족관이야말로 나의 영원한 집이자
영원한 무덤이야!","Unsinn! Hier werde ich den Rest meines Lebens
bleiben!"
3,7365,"","It may be missing a few finishing touches, but
it's all mine.","……雖然還有點地方沒完成，但這樣就獲得了
只屬於我的水族館。","","…조금 미완성이지만 이걸로 나만의 수족관을
손에 넣었어","Es fehlt vielleicht der letzte Feinschliff, aber
es gehört ganz mir."
4,7365,"","When I press this detonator, my aquarium will be
the only one like it in the world.","只要按下引爆裝置……
這座水族館，就會成為世界唯一，
專屬於我的水族館了。","","이 기폭 스위치를 누르면……
여기 있는 수족관만이 세계에서 유일한
나만의 수족관이 되는 거야","Und sobald ich auf diesen Knopf drücke, ist mein
Aquarium das einzige seiner Art auf der Welt."
5,7365,"","Hehehe...","呵呵呵……","","후후후…","Hehehe ..."
6,7366,"","Deletion program activated. All data in this
cyberspace will be erased.","已啟動刪除程式。
此虛擬空間所有檔案將被刪除。","","삭제 프로그램이 기동했습니다.
이 가상공간의 데이터는 전부 삭제됩니다","Löschsequenz aktiviert. Sämtliche Daten dieses
Cyberspace werden gelöscht."
7,7366,"","Please log off immediately. I repeat...","請立刻登出。
重複一次──","","바로 로그아웃해주십시오.
반복합니다――","Bitte unverzüglich ausloggen. Ich wiederhole ..."
8,7366,"","Deletion program activated. All data in this
cyberspace will be erased.","已啟動刪除程式。
此虛擬空間所有檔案將被刪除──","","삭제 프로그램이 기동했습니다.
이 가상공간의 데이터는 전부 삭제됩니다――","Löschsequenz aktiviert. Sämtliche Daten dieses
Cyberspace werden gelöscht."
9,7365,"","Huh? What's going on?","咦？　咦？　什麼？　怎麼回事？","","어? 어? 뭐지? 무슨 일이지?","Wie? Was ist denn jetzt los?"
10,7366,"","All data in this cyberspace will be erased.","此虛擬空間所有檔案將被刪除。","","이 가상공간의 데이터는 전부 삭제됩니다","Sämtliche Daten dieses Cyberspace werden gelöscht."
11,7365,"","Erased?! How?! Why?!","消失、要消失了！
為什麼？　為什麼啊！？","","사라져, 사라져버려!
어째서? 왜?","Gelöscht?! Wie?! Warum?!"
12,7365,"","No! My aquarium!","不要啊啊啊，我的水族館！
只屬於我的水族館啊啊啊！！","","싫어, 내 수족관이
나만의 수족관이이이!!","Nein! Mein Aquarium!"
