ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3001,,Noi hacker ci riprenderemo la nostra Utopia!,我們駭客的理想國，該由我們親手取回！,,"우리들 해커의 손으로, 우리들의 이상향을 되찾는 거다…!",Wir Hacker werden uns unser Utopia zurückholen!
2,3001,,"Gli Zaxon stanno per dichiarare la riconquista
della nostra terra sacra, Under Zero!","我們Zaxon在此宣誓，
要奪回聖地Under Zero！",,"…우리들 잭슨은
지금부터, 성지 언더 제로의 탈환을 선언한다!","Zaxon erklärt, dass wir uns unser heiliges Land
Unter Null zurückholen!"
3,3001,,"Se qualcuno di voi condivide le nostre aspirazioni, allora unitevi
a noi! Per Under Zero!","如有志同道合之人，
就與我們一同前往Under Zero吧！",,"뜻을 같이하는 자가 있다면
향하라! 언더 제로로!","Wer diesen Wunsch teilt, sollte sich uns
anschließen! Für Unter Null!"
4,3008,,Oh mio... Le cose stanno procedendo bene!,哎呀哎呀～這不是進行得很順利嗎★,,어머어머~ 좋은 느낌으로 움직여 주고 있잖아♥,Ach ... Läuft ja alles wie am Schnürchen!
5,3009,,"Li hai spinti tutti al limite molto bene.
Ora tocca a lei fare la sua parte.","這是因為妳巧妙地將他們逼進死胡同裡了呀！
接下來就看「她」的表現了。",,"당신이 이렇게 되게끔 몰아넣었으니까요
다음은,「그녀」가 잘해 주겠지요","Du hast sie alle wunderbar aufgewiegelt.
Jetzt kommt es auf sie an."
6,3009,,"Abbasserò un po' il livello di sicurezza per aumentare
il loro senso di realizzazione.","為了滿足他們的成就感，
我會先將防範措施的等級“調低”一點的。",,"그들의 달성감을 만족시킬 수 있는 레벨로
보안의 레벨을 ""낮추어"" 두겠습니다","Ich senke das Sicherheitsniveau ein wenig,
um ihnen ein Erfolgserlebnis zu bescheren."
7,3009,,Ora dovrebbero raggiungere facilmente il loro obiettivo.,如此一來，他們就能順利抵達終點了吧！,,"이로써 쉽게, 골까지 도달할 수 있을 겁니다",Jetzt sollten sie ohne Weiteres ans Ziel kommen.
8,3008,,"Eccellente, Akemi! Sei un maestro stratega!",不愧是明實小親親，真是足智多謀～★,,"역시 아케미짱, 책사네~♥","Hervorragend, Akemi! Du bist wirklich ein
meisterhafter Stratege!"
9,3008,,"Ma sono contento. Ero preoccupato di averla spinta
troppo oltre, e che potesse essere crollata...","不過太好了～我還擔心會不會逼得太緊，
反而會讓她一蹶不振呢",,"하지만 다행이야~ 그 아이를 너무 몰아넣어서
반대로 마음이 꺾인 건 아닐까 하고 걱정하고 있었거든~","Ich bin froh. Ich hatte schon Angst, dass ich sie
zu hart rangenommen hätte, und sie vielleicht
durchdreht ..."
10,3009,,"Hehe... Hehehe... Stimolare la passione di
giovani come questi...","呵呵……呵呵呵呵……
如果想挑起他們那種年輕人的熱情——",,"쿠훗… 후후후후…
그들 같은 젊은이들의 열정을 자극하기 위해서는―","Hehe ... Hehe ...
Solch jugendlichen Elan zu nutzen ..."
11,3009,,"Abbiamo degli strumenti di motivazione eccellenti:
pressione da parte delle autorità, legami familiari e
la disperazione stessa.","以權力施壓，拿家人要脅，再加上“絕望”，
就成了最棒的催化劑……！",,"권력으로부터의 압력, 가족의 굴레, 그리고 ""절망""이야말로
훌륭한 스파이스가 되지요…","Wir haben hervorragende Motivationsanreize:
Druck von den Behörden, Familienverhältnisse und
natürlich die blanke Verzweiflung."
