ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3004,"","Hey... You came.","唷……你來了啊。","","여어… 왔군","He ... Da bist du ja."
2,3004,"","He's still ""recharging.""
I'm thinking I'll eat him once he's charged.","那傢伙還在“充電”中。
我打算等它充滿電之後吃了它……所以正在等呢。","","녀석이라면, 아직 ""충전""중이야
100%가 되면 먹어 주려고… 기다리던 참이지","Er „erholt“ sich noch.
Ich denke, ich fresse ihn, sobald er erholt ist."
3,3004,"","No, that's not it.","……不，不是那樣的。","","…아니, 아니야","Nein ... darum geht es nicht."
4,3004,"","The truth is...
I was waiting for you, [p].","其實……
我是在等你來喔……[p]。","","사실은…
네가 오는 걸 기다리고 있었어… [p]","In Wahrheit habe ich ...
auf dich gewartet, [p]."
5,2000,"","...!","！","","…!","...!"
6,3004,"","Do you remember? Way back when?
It's okay to laugh. I was such a dork.","你想起來了吧？那個時候的事情。
很好笑吧……我超遜的呀。","","기억해냈잖아? 그때의 일
웃기지… 나, 엄청 꼴사나웠어","Weißt du noch? Damals?
Lach ruhig. Ich war ein Volltrottel."
7,3004,"","I said I would protect you all.
But actually, I was just scared.","說什麼要保護你們……
其實只能怕得發抖……","","너희들을 지키겠다면서 말이야…
사실은 그저, 겁먹은 거였어…","Ich habe gesagt, ich beschütze euch.
Aber eigentlich hatte ich bloß Angst."
8,3004,"","I was scared, and I... I left him behind.","我好害怕……於是對那傢伙……見死不救。","","쫄아서… 그 녀석을… 버리고 말았어","Ich hatte Angst und ich ...
Habe ihn zurückgelassen."
9,3003,"","Oh, Arata!","新、新先生……！","","…아, 아라타 씨…!","Ach, Arata!"
10,2000,"","...","………","","………","..."
11,3004,"","You tried to help Yuugo back then, didn't you?
Thanks... on behalf of my best friend.","你那時候打算救勇吾吧。
謝謝你啊……為了我的摯友那麼做。","","너, 그때 유고를 구하려고 했었지
고맙다… 내 친구를 위해서","Du hast damals versucht, Yuugo zu helfen, oder?
Danke ... im Namen meines besten Freundes."
12,3004,"","But I'm sorry...
That was supposed to be my job.","不過呀，不好意思，
那是我的任務……","","하지만 말이야, 미안해
그거, 내 역할이거든…","Aber, es tut mir leid ...
Das hätte meine Aufgabe sein sollen."
13,3004,"","And it's one I'm finally ready to do.","總算到了完成任務的時候。","","드디어, 그걸 이룰 수 있는 정도까지 왔어","Und endlich bin ich auch bereit dafür."
14,3004,"","That's why I've been eating, eating and eating...
I've gained so much power.","我為此不斷地吃、拼命地吃……
終於得到力量。","","그걸 위해서 먹고, 먹고 전부 먹어 치워서…
난, 힘을 손에 넣은 거야","Deshalb habe ich immer mehr gefressen ...
Ich habe so viel Macht gewonnen."
15,3004,"","And so...","所以——","","그러니까―","Also ..."
