ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1392,"","...That's K!","那是……K！","","저건…… K!","... Das ist K!"
2,2020,"","...!","……！","","……!","...!"
3,3053,"","...Oh. It's you.","……是你啊。","","……너…냐","... Ah. Du bist es."
4,3053,"","Did you...come to save me again?","你又想……跑來幫我了嗎？","","또…… 나를 구하러 온 거냐","Bist du ... gekommen, um mich wieder zu retten?"
5,2020,"","...?","…………？","","…………?","...?"
6,3053,"","It's always the same with you...
You come and save me, treat me all gentle, and
then look down on me!","你每次都這樣……
都是這樣出手幫我──對我好，但也瞧不起我！","","너는 언제나 그래…
그렇게 나를 구하고―― 상냥하게 대하고, 깔보고!","Immer das Gleiche mit dir ... Kommst mich retten,
bist nett zu mir und alles, und rümpfst dann
die Nase über mich!"
7,2020,"","...?!","……！？","","……!?","...?!"
8,3053,"","It's true...
He's the same as all the others.","沒錯……
這個人也和其他傢伙沒兩樣。","","그래……
이 녀석도 다른 녀석들과 같아","Es stimmt ...
Er ist genau wie alle anderen."
9,3053,"","So I want you to take a good look.
Look at *me*.","那就好好瞧一瞧吧，
見識一下“我”的真面目啊……","","그러니 제대로 보여주자.
""나""에 대해서…말이지","Schau also mal gut hin.
Schau *mich* an."
10,3053,"","Come. The stage is all prepared.
This time we'll finish it.","過來吧，舞臺已經準備好了，
這次真的要來做個了結。","","와라. 무대를 준비했다.
이번에야말로 결판을 내자","Komm. Die Bühne ist bereit.
Dieses Mal bringen wir es zu Ende."
11,1392,"","Does he...want us to attack?","這是要我們追上去……的意思吧？","","따라오라는 걸……까?","Will der ... dass wir angreifen?"
