ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1113,,Mio!,當然是我！,,당연히 나지!,Meine!
2,1752,,"No, è mio!",不對，是我！！,,"아~니, 바로 나지!!","Nein, meine!"
3,1113,,Noi non parliamo con gli umani!,沒有什麼話要對人類說的！,,인간에게 할 말은 없다!,Wir reden nicht mit Menschen!
4,1752,,Siamo occupati!,我現在很忙！,,지금 바쁘다고!,Wir sind zu beschäftigt!
5,1113,,In cosa il mio è inferiore al tuo?,……我的哪裡比不上你！？,,……내 어디가 네놈보다 못한데!?,Warum soll meine weniger gut als deine sein?
6,1752,,La mia è chiaramente migliore in ogni aspetto.,"真是莫名其妙，
不是說了我的比較厲害嗎？",,"영문을 모르겠네
내가 위라고 했잖아!",Meine ist ganz eindeutig besser.
7,1113,,"Ho detto, sparisci!",就叫你別來礙事了！,,방해하지 말랬지!,"Ich hab doch gesagt, du sollst abhauen!"
8,1752,,State fuori da questa faccenda!,少插嘴了！！,,옆에서 끼어들지 말라고!,Halt dich da raus!
9,1113,,Eh? Vuoi sapere per cosa stiamo litigando?,嗯？　你想詢問吵架的原因？,,응? 싸우는 이유를 알고 싶어?,"Was? Du willst wissen, warum wir uns streiten?"
10,1752,,Ci lascerete continuare a combattere se ve lo diciamo?!,"你說只要告訴你原因，
就讓我們吵到滿意為止！？",,"이유를 알려주고 나서
실컷 납득할 때까지 마음대로 싸워라, 라고!?","Wenn wir es dir sagen, dürfen wir weitermachen?!"
11,1113,,"Nessun umano potrebbe mai capire qualcosa di così
profondo e complesso.",反正人類一定不懂我們的高尚思想。,,어차피 인간은 우리의 고상한 사상 따위 이해 못 해,"So etwas Tiefgründiges könnte kein Mensch jemals
verstehen."
12,2020,,"(Hanno rivolto la loro rabbia verso di me. Forse uno
di loro parlerà con me ora.)","（憤怒的矛頭指向這裡了。
　看樣子這樣就能和其中一位講到話）",,"(분노의 화살이 이쪽을 향했다.
 이러면 한쪽과 이야기할 수 있을 것 같다)","(Jetzt sind sie wütend auf mich. Vielleicht wird
jetzt einer von ihnen mit mir reden.)"
13,2020,,"Parla con GoldNumemon.
Parla con PlatinumSukamon.","和黃金鼻涕獸說話。
和白金大便獸說話。",,"골드워매몬과 이야기한다
화이트스카몬과 이야기한다","Mit GoldNumemon sprechen.
Mit PlatinumSukamon sprechen."
14,1113,,"Non provare a fare come se fossimo amici, umano!",別隨便地叫我的名字！　人類！,,가볍게 내 이름을 부르지 마! 인간!,"Tu nicht so, als ob wir Freunde sind, Mensch!"
15,1752,,Tieni il tuo naso umano fuori dai nostri affari!,人類少介入我們之間的事！,,인간이 우리 이야기에 끼어들지 말라고!,Halt dich aus unseren Angelegenheiten raus!
16,1752,,Non sto parlando con un umano!,我才沒有話要對人類說！！,,인간이랑 할 말 따위 없다고!!,Ich spreche mit keinem Menschen!
17,1113,,Tieni il tuo naso umano fuori dai nostri affari!,人類別介入我們之間的事！,,우리 이야기에 인간이 끼어들지 마!,Halt dich aus unseren Angelegenheiten raus!
